filename,title,id,slug,url,created,tags_before,tags_after
duke-university-s-dh-tools-catalog.md,Duke University's DH Tools catalog,DG-RSRCH-62,duke-university-s-dh-tools-catalog,https://digitalhumanities.duke.edu/tools,"August 31, 2025 2:51 PM",catalog;digital-humanities;r;tools,catalog;digital-humanities;r;tools
european-holocaust-research-infrastructure-ehri.md,European Holocaust Research Infrastructure (EHRI),DG-RSRCH-51,european-holocaust-research-infrastructure-ehri,https://www.ehri-project.eu/,"August 31, 2025 2:51 PM",arts-humanities;digital-humanities;holocaust;infrastructure;portal;r;research,arts-humanities;digital-humanities;holocaust;infrastructure;portal;r;research
european-research-infrastructure-for-heritage-science-e-rihs.md,European Research Infrastructure for Heritage Science (E-RIHS),DG-RSRCH-52,european-research-infrastructure-for-heritage-science-e-rihs,http://www.e-rihs.eu/,"August 31, 2025 2:51 PM",arts-humanities;digital-humanities;heritage;holocaust;infrastructure;portal;r;research,arts-humanities;digital-humanities;heritage;holocaust;infrastructure;portal;r;research
europeana.md,Europeana,DG-RSRCH-301,europeana,https://www.europeana.eu,"August 31, 2025 6:26 PM",digital-humanities;portal,digital-humanities;portal
fid-romanistik.md,FID Romanistik,DG-RSRCH-63,fid-romanistik,https://www.fid-romanistik.de/forschungsdaten/suche-nach-forschungsdaten/fid-internetressourcen/tools/,"August 31, 2025 2:51 PM",catalog;digital-humanities;german;r;tools,catalog;digital-humanities;german;r;tools
fortext.md,forText,DG-RSRCH-89,fortext,https://fortext.net/,"August 31, 2025 2:51 PM",beginner;digital-humanities;german;r;tutorials,beginner;digital-humanities;german;r;tutorials
framework-for-information-literacy-for-higher-education.md,Framework for Information Literacy for Higher Education,DG-RSRCH-90,framework-for-information-literacy-for-higher-education,http://www.ala.org/acrl/standards/ilframework,"August 31, 2025 2:51 PM",digital-humanities;framework;information-literacy;r,digital-humanities;framework;information-literacy;r
gensim.md,Gensim,DG-RSRCH-307,gensim,https://radimrehurek.com/gensim,"August 31, 2025 6:26 PM",digital-humanities;python;topic-modeling,digital-humanities;python;topic-modeling
geonames.md,GeoNames,DG-RSRCH-318,geonames,https://www.geonames.org,"August 31, 2025 6:26 PM",api;digital-humanities,api;digital-humanities
gephi.md,Gephi,DG-RSRCH-101,gephi,https://gephi.org/,"August 31, 2025 2:51 PM",analysis;digital-humanities;networks;r,analysis;digital-humanities;networks;r
giles-ecosystem.md,Giles Ecosystem,DG-RSRCH-39,giles-ecosystem,https://diging.atlassian.net/wiki/spaces/GECO/overview,"August 31, 2025 2:51 PM",digital-humanities;extraction;kafka;ocr;pdf;pipeline;processing;r,digital-humanities;extraction;kafka;ocr;pdf;pipeline;processing;r
glams-workbench.md,GLAMS Workbench,DG-RSRCH-64,glams-workbench,https://glam-workbench.net/,"August 31, 2025 2:51 PM",australia;digital-humanities;glam;r;tutorials;workbench,australia;digital-humanities;glam;r;tutorials;workbench
glycerine.md,Glycerine,DG-RSRCH-28,glycerine,https://glycerine.io/,"August 31, 2025 2:51 PM",annotation;digital-humanities;iiif;r;workflows,annotation;digital-humanities;iiif;r;workflows
go-dh.md,GO::DH,DG-RSRCH-53,go-dh,http://www.globaloutlookdh.org/,"August 31, 2025 2:51 PM",centers;digital-humanities;global;network;organization;switzerland,centers;digital-humanities;global;network;organization;switzerland
graph-commons.md,Graph Commons,DG-RSRCH-324,graph-commons,https://graphcommons.com,"August 31, 2025 6:26 PM",digital-humanities,digital-humanities
grobid.md,GROBID,DG-RSRCH-310,grobid,https://github.com/ourresearch/grobid,"August 31, 2025 6:26 PM",digital-humanities;tei,digital-humanities;tei
hathitrust-digital-library.md,HathiTrust Digital Library,DG-RSRCH-296,hathitrust-digital-library,https://www.hathitrust.org,"August 31, 2025 6:26 PM",digital-humanities,digital-humanities
hdlab.md,HDLab,DG-RSRCH-34,hdlab,http://hdlab.stanford.edu/,"August 31, 2025 2:51 PM",digital-humanities;lab;organization;r;stanford;switzerland,digital-humanities;lab;organization;r;stanford;switzerland
hss-digital.md,HSS Digital,DG-RSRCH-69,hss-digital,https://hssonline.org/page/digitalprojects,"August 31, 2025 2:51 PM",digital-humanities;directory;history-of-science;projects,digital-humanities;directory;history-of-science;projects
humanites-numeriques-university-of-geneva.md,Humanités numériques (University of Geneva),DG-RSRCH-35,humanites-numeriques-university-of-geneva,https://www.unige.ch/lettres/humanites-numeriques/,"August 31, 2025 2:51 PM",digital-humanities;organization;program;switzerland,digital-humanities;organization;program;switzerland
humanities-data-analysis.md,Humanities Data Analysis,DG-RSRCH-91,humanities-data-analysis,https://www.humanitiesdataanalysis.org/,"August 31, 2025 2:51 PM",book;digital-humanities;python,book;digital-humanities;python
hypothes-is.md,Hypothes.is,DG-RSRCH-319,hypothes-is,https://web.hypothes.is,"August 31, 2025 6:26 PM",annotation;digital-humanities,annotation;digital-humanities
imagemagick.md,ImageMagick,DG-RSRCH-21,imagemagick,https://imagemagick.org/,"August 31, 2025 2:51 PM",convert;digital-humanities;image-processing;images;processing,convert;digital-humanities;image-processing;images;processing
internet-archive.md,Internet Archive,DG-RSRCH-297,internet-archive,https://archive.org,"August 31, 2025 6:26 PM",digital-humanities,digital-humanities
internet-encyclopedia-of-philosophy-iep.md,Internet Encyclopedia of Philosophy (IEP),DG-RSRCH-289,internet-encyclopedia-of-philosophy-iep,https://iep.utm.edu,"August 31, 2025 6:26 PM",digital-humanities;encyclopedia,digital-humanities;encyclopedia
intro-cultural-analytics.md,Intro Cultural Analytics,DG-RSRCH-92,intro-cultural-analytics,https://melaniewalsh.github.io/Intro-Cultural-Analytics/welcome.html,"August 31, 2025 2:51 PM",course;digital-editions;digital-humanities;python;r;rutgers,course;digital-editions;digital-humanities;python;r;rutgers
introduction-to-digital-humanities-dh101.md,Introduction to Digital Humanities (DH101),DG-RSRCH-93,introduction-to-digital-humanities-dh101,https://asandersgarcia.humspace.ucla.edu/courses/dh101f18/,"August 31, 2025 2:51 PM",course;digital-editions;digital-humanities;python;r;rutgers;ucla,course;digital-editions;digital-humanities;python;r;rutgers;ucla
jupyter-notebooks-for-digital-humanities.md,Jupyter Notebooks for Digital Humanities,DG-RSRCH-94,jupyter-notebooks-for-digital-humanities,https://github.com/quinnanya/dh-jupyter/blob/master/README.md,"August 31, 2025 2:51 PM",digital-humanities;notebooks;python;r,digital-humanities;notebooks;python;r
jupyterhub-workspace.md,JupyterHub Workspace,DG-RSRCH-77,jupyterhub-workspace,https://github.com/maltevogl/jupyterworkspace,"August 31, 2025 2:51 PM",collaboration;digital-humanities;jupyter;nextcloud;platform;r;sso,collaboration;digital-humanities;jupyter;nextcloud;platform;r;sso
khartis.md,Khartis,DG-RSRCH-102,khartis,https://www.sciencespo.fr/cartographie/khartis/en/,"August 31, 2025 2:51 PM",digital-humanities;mapping;r;tool,digital-humanities;mapping;r;tool
ladhul-dhcenter.md,Ladhul dhCenter,DG-RSRCH-36,ladhul-dhcenter,http://www.dhlausanne.ch/,"August 31, 2025 2:51 PM",austria;dh;digital-humanities;institute;organization;r;switzerland,austria;dh;digital-humanities;institute;organization;r;switzerland
